"","V1","V2","V3","V4"
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","WIS","WIS","WIS","WIS"
"p","winter","winter","winter","winter"
"Inc.t","19January-25January","26January-01February","02February-08February","09February-15February"
"Inc","1.0 (0.2 - 2.3)","1.1 (0.2 - 2.6)","1.3 (0.3 - 3.0)","1.0 (0.2 - 2.3)"
"R.pk","27.9 (-3.0 - 44.5)","37.1 (9.2 - 51.9)","45.3 (23.3 - 57.5)","30.3 (2.0 - 46.0)"
"Att","2.9 (1.8 - 4.5)","4.1 (2.6 - 6.0)","5.7 (3.9 - 8.0)","5.8 (4.3 - 7.7)"
"R.Att","0.5 (-13.8 - 11.6)","28.5 (19.2 - 35.9)","48.8 (43.6 - 53.1)","49.7 (45.6 - 53.3)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","RMSE","RMSE","RMSE","RMSE"
"p","winter","winter","winter","winter"
"Inc.t","19January-25January","26January-01February","02February-08February","26January-01February"
"Inc","0.8 (0.2 - 2.0)","1.0 (0.2 - 2.3)","1.0 (0.2 - 2.3)","0.8 (0.3 - 1.7)"
"R.pk","18.7 (-17.6 - 37.9)","31.6 (0.8 - 47.8)","30.6 (-1.7 - 47.4)","18.7 (-4.0 - 33.2)"
"Att","2.7 (1.7 - 4.0)","3.8 (2.5 - 5.6)","5.0 (3.5 - 6.8)","5.3 (4.1 - 6.9)"
"R.Att","-8.8 (-24.6 - 3.4)","24.2 (14.4 - 32.0)","41.4 (35.2 - 46.5)","45.3 (40.9 - 49.1)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","LNQ","LNQ","LNQ","LNQ"
"p","winter","winter","winter","winter"
"Inc.t","19January-25January","26January-01February","02February-08February","09February-15February"
"Inc","0.8 (0.2 - 1.9)","1.0 (0.2 - 2.4)","1.1 (0.2 - 2.6)","1.0 (0.2 - 2.2)"
"R.pk","15.4 (-18.2 - 34.1)","31.8 (5.0 - 46.9)","36.7 (10.1 - 51.2)","28.6 (2.8 - 43.6)"
"Att","2.6 (1.6 - 3.9)","3.8 (2.5 - 5.6)","5.1 (3.6 - 7.2)","5.6 (4.2 - 7.5)"
"R.Att","-11.9 (-26.4 - -0.4)","24.0 (14.9 - 31.2)","43.5 (37.7 - 48.3)","47.8 (43.8 - 51.2)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","MAE","MAE","MAE","MAE"
"p","winter","winter","winter","winter"
"Inc.t","19January-25January","26January-01February","02February-08February","26January-01February"
"Inc","0.8 (0.2 - 2.0)","1.0 (0.2 - 2.3)","1.0 (0.2 - 2.3)","0.8 (0.3 - 1.7)"
"R.pk","18.7 (-17.6 - 37.9)","31.6 (0.8 - 47.8)","30.6 (-1.7 - 47.4)","18.7 (-4.0 - 33.2)"
"Att","2.7 (1.7 - 4.0)","3.8 (2.5 - 5.6)","5.0 (3.5 - 6.8)","5.3 (4.1 - 6.9)"
"R.Att","-8.8 (-24.6 - 3.4)","24.2 (14.4 - 32.0)","41.4 (35.2 - 46.5)","45.3 (40.9 - 49.1)"
"NA.",,,,
