"","V1","V2","V3","V4"
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","WIS","WIS","WIS","WIS"
"p","winter","winter","winter","winter"
"Inc.t","19January-25January","26January-01February","26January-01February","09February-15February"
"Inc","0.8 (0.2 - 1.8)","1.4 (0.4 - 3.2)","1.3 (0.5 - 2.5)","1.0 (0.3 - 2.2)"
"R.pk","-14.2 (-69.8 - 13.9)","35.6 (-1.5 - 52.9)","27.8 (2.4 - 42.8)","8.8 (-25.1 - 28.2)"
"Att","3.1 (2.2 - 4.3)","5.6 (4.1 - 7.7)","6.4 (5.0 - 8.3)","6.6 (5.5 - 8.2)"
"R.Att","-53.6 (-73.1 - -38.1)","15.3 (3.3 - 24.6)","26.2 (19.1 - 32.2)","28.5 (23.9 - 32.6)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","RMSE","RMSE","RMSE","RMSE"
"p","winter","winter","winter","winter"
"Inc.t","19January-25January","26January-01February","26January-01February","09February-15February"
"Inc","0.8 (0.2 - 1.8)","1.4 (0.4 - 3.1)","1.3 (0.5 - 2.6)","1.1 (0.3 - 2.3)"
"R.pk","-14.5 (-68.6 - 13.4)","35.4 (3.3 - 51.5)","27.9 (-11.8 - 46.8)","12.4 (-21.5 - 31.6)"
"Att","3.1 (2.2 - 4.2)","5.6 (4.0 - 7.7)","6.4 (5.0 - 8.4)","6.7 (5.5 - 8.3)"
"R.Att","-54.0 (-74.3 - -38.0)","15.0 (3.1 - 24.3)","26.1 (17.8 - 32.8)","29.5 (24.4 - 34.0)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","LNQ","LNQ","LNQ","LNQ"
"p","winter","winter","winter","winter"
"Inc.t","19January-25January","26January-01February","26January-01February","09February-15February"
"Inc","0.8 (0.2 - 1.7)","1.4 (0.4 - 3.0)","1.2 (0.5 - 2.4)","1.0 (0.3 - 2.1)"
"R.pk","-16.8 (-73.4 - 11.9)","32.2 (-3.3 - 49.6)","25.5 (-2.2 - 41.3)","7.8 (-25.9 - 27.2)"
"Att","3.0 (2.2 - 4.1)","5.3 (3.9 - 7.3)","6.3 (4.9 - 8.1)","6.6 (5.5 - 8.1)"
"R.Att","-57.5 (-77.8 - -41.4)","10.8 (-1.2 - 20.3)","24.6 (17.0 - 30.8)","28.1 (23.3 - 32.4)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","MAE","MAE","MAE","MAE"
"p","winter","winter","winter","winter"
"Inc.t","19January-25January","26January-01February","26January-01February","09February-15February"
"Inc","0.8 (0.2 - 1.7)","1.4 (0.4 - 3.1)","1.3 (0.5 - 2.5)","1.0 (0.3 - 2.2)"
"R.pk","-16.5 (-70.9 - 11.7)","34.6 (0.8 - 51.2)","27.5 (-0.6 - 43.3)","9.1 (-27.8 - 29.5)"
"Att","3.1 (2.2 - 4.2)","5.6 (4.1 - 7.6)","6.4 (5.0 - 8.3)","6.7 (5.5 - 8.2)"
"R.Att","-55.6 (-75.0 - -40.2)","14.5 (3.4 - 23.4)","25.9 (18.3 - 32.2)","28.9 (24.1 - 33.1)"
"NA.",,,,
