"model","v.WIS","v.RMSE","v.LNQ","v.MAE"
"4","4","4","4","4"
"ILI(23) + bs(12) + ozone_lag_1_Pow + ScHD_lag_1_Pow","1.000","1.005","1.018","1.006"
"ILI(23) + bs(12) + ozone_lag_1_Pow + temp_lag_1 + ScHD_lag_1_Pow","1.001","1.000","1.016","1.000"
"ILI(9) + bs(12) + ozone_lag_1_Pow + temp_lag_1 + ScHD_lag_1_Pow","1.028","1.039","1.000","1.040"
"ARIMA (4,0,1)(0,0,0)+bs(12)+ozone_lag_1_Pow+temp_lag_1+ScHD_lag_1_Pow","1.094","1.052","1.004","1.069"
"ARIMA (2,0,2)(1,0,0)+bs(12)+ozone_lag_1_Pow+temp_lag_1+ScHD_lag_1_Pow","1.127","1.079","1.012","1.096"
"ARIMA (2,0,2)(1,0,0)+ozone_lag_1_Pow+temp_lag_1+ScHD_lag_1_Pow","1.130","1.104","1.100","1.119"
"ARIMA (2,0,2)(0,0,0)+ozone_lag_1_Pow+temp_lag_1+ScHD_lag_1_Pow","1.139","1.113","1.109","1.128"
"ARIMA (2,0,2)(0,0,0)+bs(12)+ozone_lag_1_Pow+temp_lag_1+ScHD_lag_1_Pow","1.142","1.095","1.031","1.115"
"13","13","13","13","13"
"ILI(15) + bs(12) + temp_lag_1 + ScHD_lag_1 + ScHD_lag_1_sq","1.000","1.001","1.092","1.013"
"ILI(17) + bs(12) + temp_lag_1 + ScHD_lag_1 + ScHD_lag_1_sq","1.003","1.000","1.098","1.015"
"ILI(15) + bs(12) + AH_lag_1 + temp_lag_1 + ScHD_lag_1 + ScHD_lag_1_sq","1.003","1.004","1.085","1.013"
"ILI(5) + bs(12) + AH_lag_1 + temp_lag_1 + ScHD_lag_1 + ScHD_lag_1_sq","1.016","1.023","1.078","1.037"
"ARIMA (4,0,1)(0,0,0)+bs(12)+temp_lag_1+ScHD_lag_1+ScHD_lag_1_sq+AH_lag_1","1.077","1.009","1.000","1.000"
"ARIMA (2,0,2)(1,0,0)+bs(12)+temp_lag_1+ScHD_lag_1+ScHD_lag_1_sq+AH_lag_1","1.112","1.034","1.016","1.034"
"ARIMA (2,0,2)(0,0,0)+bs(12)+temp_lag_1+ScHD_lag_1+ScHD_lag_1_sq+AH_lag_1","1.155","1.061","1.050","1.072"
"ARIMA (2,0,2)(1,0,0)+temp_lag_1+ScHD_lag_1+ScHD_lag_1_sq+AH_lag_1","1.209","1.137","1.180","1.121"
"ARIMA (2,0,2)(0,0,0)+temp_lag_1+ScHD_lag_1+ScHD_lag_1_sq+AH_lag_1","1.231","1.153","1.206","1.138"
