"weekend","dec.date","Cori.obs.Rt","Cori.fit.Rt","Cori.Rt.redu"
2019-12-07,2019.93150684932,"1.45 (1.43, 1.50)","1.45 (1.43, 1.50)","0.00% (0.00%, 0.00%)"
2019-12-14,2019.95068493151,"1.22 (1.20, 1.25)","1.22 (1.20, 1.25)","0.00% (0.00%, 0.00%)"
2019-12-21,2019.9698630137,"1.16 (1.14, 1.18)","1.16 (1.14, 1.18)","0.00% (0.00%, 0.00%)"
2019-12-28,2019.98904109589,"1.17 (1.16, 1.19)","1.17 (1.16, 1.19)","0.00% (0.00%, 0.00%)"
2020-01-04,2020.00819672131,"1.37 (1.36, 1.38)","1.35 (1.35, 1.37)","-0.96% (-1.10%, -0.68%)"
2020-01-11,2020.02732240437,"1.08 (1.08, 1.09)","1.18 (1.13, 1.21)","8.30% (4.99%, 10.16%)"
2020-01-18,2020.04644808743,"0.77 (0.77, 0.78)","1.07 (0.99, 1.15)","27.82% (22.23%, 32.68%)"
2020-01-25,2020.06557377049,"0.90 (0.90, 0.92)","1.00 (0.90, 1.15)","9.01% (-2.16%, 21.55%)"
2020-02-01,2020.08469945355,"0.86 (0.86, 0.88)","1.03 (0.90, 1.11)","15.58% (4.35%, 22.13%)"
2020-02-08,2020.10382513661,"0.68 (0.68, 0.70)","1.01 (0.91, 1.11)","31.98% (24.51%, 37.58%)"
2020-02-15,2020.12295081967,"0.52 (0.51, 0.55)","0.95 (0.85, 1.08)","44.59% (38.57%, 51.88%)"
2020-02-22,2020.14207650273,"0.76 (0.73, 0.82)","1.03 (0.86, 1.17)","24.99% (12.58%, 33.46%)"
2020-02-29,2020.16120218579,"0.74 (0.70, 0.81)","1.00 (0.80, 1.19)","25.47% (10.88%, 40.06%)"
