"weekend","dec.date","Cori.obs.Rt","Cori.fit.Rt","Cori.Rt.redu"
2019-12-07,2019.93150684932,"1.46 (1.41, 1.51)","1.46 (1.41, 1.51)","0.00% (0.00%, 0.00%)"
2019-12-14,2019.95068493151,"1.22 (1.20, 1.25)","1.22 (1.20, 1.25)","0.00% (0.00%, 0.00%)"
2019-12-21,2019.9698630137,"1.16 (1.14, 1.18)","1.16 (1.14, 1.18)","0.00% (0.00%, 0.00%)"
2019-12-28,2019.98904109589,"1.18 (1.16, 1.19)","1.18 (1.16, 1.19)","0.00% (0.00%, 0.00%)"
2020-01-04,2020.00819672131,"1.37 (1.35, 1.38)","1.36 (1.33, 1.39)","-0.69% (-2.38%, 1.22%)"
2020-01-11,2020.02732240437,"1.08 (1.07, 1.09)","1.15 (0.91, 1.42)","4.91% (-19.23%, 23.47%)"
2020-01-18,2020.04644808743,"0.77 (0.77, 0.78)","1.08 (0.77, 1.45)","26.61% (-0.29%, 46.51%)"
2020-01-25,2020.06557377049,"0.91 (0.89, 0.92)","1.04 (0.69, 1.48)","9.41% (-31.95%, 38.72%)"
2020-02-01,2020.08469945355,"0.87 (0.85, 0.88)","1.02 (0.62, 1.53)","10.64% (-38.97%, 43.35%)"
2020-02-08,2020.10382513661,"0.69 (0.67, 0.70)","0.99 (0.59, 1.55)","26.62% (-16.78%, 55.88%)"
2020-02-15,2020.12295081967,"0.53 (0.50, 0.55)","0.98 (0.56, 1.61)","42.29% (5.91%, 67.12%)"
2020-02-22,2020.14207650273,"0.77 (0.72, 0.83)","1.02 (0.54, 1.71)","17.70% (-41.21%, 54.90%)"
2020-02-29,2020.16120218579,"0.75 (0.68, 0.82)","1.01 (0.53, 1.72)","18.89% (-41.04%, 56.81%)"
